-0.173,53.094,13
131.035,33.846,23
-83.58352,38.21989,20
55.522,-4.674,27
-96.37948,42.39169,21.1
-46.469,-23.432,17
-97.99735,40.8966,21.9
-72.61929,40.85055,10.6
-94.11756,36.1802,18
-95.41758,30.36108,20.6
-78.93248,33.6769,25
-71.197,46.837,13.4
80.797,16.53,32
-106.815,41.447,18
-98.04585,29.70888,25.6
-86.41002,36.37455,23
-96.15342,46.28654,14
-81.07,33.612,22
-83.86182,35.19393,20.1
51.152,35.416,19
77.546,34.136,8
-115.066,51.083,19.2
-92.23582,34.72726,22.2
14.069,57.752,10
-97.38072,42.91415,22.8
-94.96007,33.09363,24.3
-162.033,61.865,7.2
-88.4654,36.08895,22
-111.962,41.111,26
-39.27,-7.219,24
-76.76629,37.52239,15.5
8.616,51.614,17
-79.20649,37.32126,12.2
-84.727,44.681,11
-91.57633,34.59983,21.1
15.714,41.538,19
-84.39735,39.53238,19
-66.01065,18.4326,26.1
-86.91896,36.53632,22
15.083,65.806,7
-101.05119,39.43006,20.7
-97.14956,44.90453,18.9
45.066,37.665,11
2.483,44.41,14
-71.49239,41.91682,11.7
-116.0056,39.60151,20
-93.1114,41.29843,20
-102.241,40.1,23
-28.714,38.521,18
26.302,-29.093,5
-102.041,19.396,27
7.78,64.349,9
-94.90953,39.76829,21.1
17.9949,53.0962,12
9.787,54.962,13
-88.60708,34.92087,24
-118.83445,45.69751,27.2
-83.10553,29.63345,27
99.881,19.961,27
22.379,-34.006,11
42.1,45.108,13
47.995,46.286,16
-3.093,58.459,13
138.077,9.487,30.7
-100.025,48.389,15
-94.8546,33.91335,22
-88.49074,43.7695,17.2
-102.27,48.79,17.9
-86.23685,43.17107,14.4
-84.743,43.62288,10.5
-91.65175,35.72586,22.2
120.621,24.265,32
-80.466,33.978,21.9
80.228,50.352,15
46.956,-25.038,21
-79.40392,40.27674,12
41.6,41.61,16
-97.33784,26.15966,26.7
3.342,52.36,14
-99.754,16.758,31
-71.972,46.691,11.7
84.951,24.744,30
-84.634,45.866,6
27.222,31.325,17
135.233,34.434,22
-82.079,32.374,22.6
150.477,-23.375,26
109.412,18.303,31
-83.98542,42.63266,12
166.213,-22.015,24
-122.55467,38.14174,19
-80.00582,32.70246,25
7.809,36.822,13
-122.784,49.018,16.9
-64.48167,48.775,5
-84.63438,30.97086,24.8
-76.014,36.399,19
74.617,15.861,21
175.381,-40.196,16
-2.956,35.278,19
-84.42225,42.56356,12.5
-114.45469,42.72736,27.2
-106.145717,31.515101,29.5
-122.15914,48.15839,17
-171.993,-13.829,30
-90.47207,31.18227,22.2
-80.64,32.921,21
13.213,56.083,12
-46.96,-19.563,19
-87.6824,37.80656,21.7
-98.49297,33.97855,26.7
-71.615,-33.656,5
-78.41118,41.04647,8.3
122.235,-17.948,22
-95.77919,37.15662,19
-45.861,-23.229,18
-94.8981,26.1292,27.3
83.451,26.74,27
-72.506,41.383,10
-77.36956,39.41766,10.6
-77.301,38.503,14.4
-71.92352,41.07304,11.1
0.538,41.734,20
151.793,-27.558,23
21.6916,47.984,13
-84.22628,39.59179,19.4
-85.68589,40.48634,17.6
-121.6244,37.82759,27
-13.657,13.733,33
-78.51674,40.08633,9.5
-103.283,56.333,19.7
-107.88836,40.04437,21.1
-122.60701,38.26006,17
32.706,25.671,25
-0.186,27.839,25
0.486,52.362,14.6
-98.66077,30.78729,25
-75.637,45.005,11.9
-156.955,20.783,23.9
